"","Survived","Pclass","Sex","segmento_edad","FarePerson","nfamiliares"
"1",0,"3","male","20-29",7.25,3
"2",1,"1","female","30-39",71.28,3
"3",1,"3","female","20-29",7.92,2
"4",1,"1","female","30-39",26.55,3
"5",0,"3","male","30-39",8.05,2
"6",0,"3","male","30-39",8.46,2
"7",0,"1","male","50-59",51.86,2
"8",0,"3","male","0-9",5.27,6
"9",1,"3","female","20-29",3.71,4
"10",1,"2","female","10-19",15.04,3
"11",1,"3","female","0-9",8.35,4
"12",1,"1","female","50-59",26.55,2
"13",0,"3","male","10-19",8.05,2
"14",0,"3","male","30-39",4.47,8
"15",0,"3","female","10-19",7.85,2
"16",1,"2","female","50-59",16,2
"17",0,"3","male","0-9",5.82,7
"18",1,"2","male","30-39",13,2
"19",0,"3","female","30-39",18,3
"20",1,"3","female","30-39",7.22,2
"21",0,"2","male","30-39",13,2
"22",1,"2","male","30-39",13,2
"23",1,"3","female","10-19",8.03,2
"24",1,"1","male","20-29",35.5,2
"25",0,"3","female","0-9",5.27,6
"26",1,"3","female","30-39",7.85,8
"27",0,"3","male","30-39",7.22,2
"28",0,"1","male","10-19",65.75,7
"29",1,"3","female","20-29",7.88,2
"30",0,"3","male","30-39",7.9,2
"31",0,"1","male","30-39",27.72,2
"32",1,"1","female","30-39",73.26,3
"33",1,"3","female","20-29",7.75,2
"34",0,"2","male","60-69",10.5,2
"35",0,"1","male","20-29",41.09,3
"36",0,"1","male","40-49",26,3
"37",1,"3","male","30-39",7.23,2
"38",0,"3","male","20-29",8.05,2
"39",0,"3","female","10-19",9,4
"40",1,"3","female","10-19",5.62,3
"41",0,"3","female","30-39",9.47,3
"42",0,"2","female","20-29",10.5,3
"43",0,"3","male","30-39",7.9,2
"44",1,"2","female","0-9",13.86,5
"45",1,"3","female","10-19",7.88,2
"46",0,"3","male","30-39",8.05,2
"47",0,"3","male","30-39",15.5,3
"48",1,"3","female","20-29",7.75,2
"49",0,"3","male","30-39",21.68,4
"50",0,"3","female","10-19",8.9,3
"51",0,"3","male","0-9",6.61,7
"52",0,"3","male","20-29",7.8,2
"53",1,"1","female","40-49",25.58,3
"54",1,"2","female","20-29",26,3
"55",0,"1","male","60-69",61.98,3
"56",1,"1","male","30-39",35.5,2
"57",1,"2","female","20-29",10.5,2
"58",0,"3","male","20-29",7.23,2
"59",1,"2","female","0-9",9.25,5
"60",0,"3","male","10-19",7.82,9
"61",0,"3","male","20-29",7.23,2
"62",1,"1","female","30-39",40,2
"63",0,"1","male","40-49",41.74,3
"64",0,"3","male","0-9",4.65,7
"65",0,"1","male","30-39",27.72,2
"66",1,"3","male","0-9",7.62,4
"67",1,"2","female","20-29",10.5,2
"68",0,"3","male","10-19",8.16,2
"69",1,"3","female","10-19",7.92,8
"70",0,"3","male","20-29",8.66,4
"71",0,"2","male","30-39",10.5,2
"72",0,"3","female","10-19",7.82,9
"73",0,"2","male","20-29",14.7,2
"74",0,"3","male","20-29",14.45,3
"75",1,"3","male","30-39",8.07,2
"76",0,"3","male","20-29",7.65,2
"77",0,"3","male","30-39",7.9,2
"78",0,"3","male","30-39",8.05,2
"79",1,"2","male","0-9",14.5,4
"80",1,"3","female","20-29",6.24,2
"81",0,"3","male","20-29",9,2
"82",1,"3","male","20-29",9.5,2
"83",1,"3","female","20-29",7.79,2
"84",0,"1","male","20-29",47.1,2
"85",1,"2","female","10-19",10.5,2
"86",1,"3","female","30-39",7.92,5
"87",0,"3","male","10-19",8.59,6
"88",0,"3","male","30-39",8.05,2
"89",1,"1","female","20-29",65.75,7
"90",0,"3","male","20-29",8.05,2
"91",0,"3","male","20-29",8.05,2
"92",0,"3","male","10-19",7.85,2
"93",0,"1","male","40-49",61.17,3
"94",0,"3","male","20-29",10.29,5
"95",0,"3","male","50-59",7.25,2
"96",0,"3","male","30-39",8.05,2
"97",0,"1","male","70-80",34.65,2
"98",1,"1","male","20-29",63.36,3
"99",1,"2","female","30-39",11.5,3
"100",0,"2","male","30-39",13,3
"101",0,"3","female","20-29",7.9,2
"102",0,"3","male","30-39",7.9,2
"103",0,"1","male","20-29",38.64,3
"104",0,"3","male","30-39",8.65,2
"105",0,"3","male","30-39",7.92,4
"106",0,"3","male","20-29",7.9,2
"107",1,"3","female","20-29",7.65,2
"108",1,"3","male","30-39",7.78,2
"109",0,"3","male","30-39",7.9,2
"110",1,"3","female","20-29",8.05,3
"111",0,"1","male","40-49",26,2
"112",0,"3","female","10-19",7.23,3
"113",0,"3","male","20-29",8.05,2
"114",0,"3","female","10-19",9.82,3
"115",0,"3","female","10-19",7.23,2
"116",0,"3","male","20-29",7.92,2
"117",0,"3","male","70-80",7.75,2
"118",0,"2","male","20-29",10.5,3
"119",0,"1","male","20-29",123.76,3
"120",0,"3","female","0-9",4.47,8
"121",0,"2","male","20-29",14.7,4
"122",0,"3","male","30-39",8.05,2
"123",0,"2","male","30-39",15.04,3
"124",1,"2","female","30-39",13,2
"125",0,"1","male","50-59",38.64,3
"126",1,"3","male","10-19",5.62,3
"127",0,"3","male","30-39",7.75,2
"128",1,"3","male","20-29",7.14,2
"129",1,"3","female","20-29",11.18,4
"130",0,"3","male","40-49",6.97,2
"131",0,"3","male","30-39",7.9,2
"132",0,"3","male","10-19",7.05,2
"133",0,"3","female","40-49",14.5,3
"134",1,"2","female","20-29",26,3
"135",0,"2","male","20-29",13,2
"136",0,"2","male","20-29",15.05,2
"137",1,"1","female","10-19",26.28,4
"138",0,"1","male","30-39",26.55,3
"139",0,"3","male","10-19",4.61,2
"140",0,"1","male","20-29",39.6,2
"141",0,"3","female","30-39",7.62,4
"142",1,"3","female","20-29",7.75,2
"143",1,"3","female","20-29",7.92,3
"144",0,"3","male","10-19",6.75,2
"145",0,"2","male","10-19",11.5,2
"146",0,"2","male","10-19",18.38,4
"147",1,"3","male","20-29",7.8,2
"148",0,"3","female","0-9",8.59,6
"149",0,"2","male","30-39",8.67,4
