"","x"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","1"
"8","0"
"9","1"
"10","0"
"11","0"
"12","0"
"13","1"
"14","0"
"15","1"
"16","1"
"17","0"
"18","0"
"19","1"
"20","0"
"21","0"
"22","1"
"23","1"
"24","0"
"25","1"
"26","0"
"27","1"
"28","0"
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","1"
"38","1"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","1"
"45","1"
"46","0"
"47","0"
"48","0"
"49","1"
"50","1"
"51","0"
"52","0"
"53","1"
"54","1"
"55","0"
"56","0"
"57","0"
"58","0"
"59","0"
"60","1"
"61","0"
"62","0"
"63","0"
"64","1"
"65","0"
"66","1"
"67","1"
"68","0"
"69","0"
"70","1"
"71","1"
"72","0"
"73","1"
"74","0"
"75","1"
"76","0"
"77","0"
"78","1"
"79","0"
"80","1"
"81","0"
"82","0"
"83","0"
"84","0"
"85","0"
"86","0"
"87","1"
"88","1"
"89","0"
"90","1"
"91","1"
"92","0"
"93","1"
"94","0"
"95","0"
"96","0"
"97","0"
"98","0"
"99","1"
"100","0"
"101","1"
"102","0"
"103","0"
"104","0"
"105","0"
"106","0"
"107","0"
"108","0"
"109","0"
"110","0"
"111","0"
"112","1"
"113","1"
"114","1"
"115","1"
"116","0"
"117","0"
"118","1"
"119","0"
"120","1"
"121","1"
"122","0"
"123","1"
"124","0"
"125","0"
"126","1"
"127","0"
"128","0"
"129","0"
"130","0"
"131","0"
"132","0"
"133","0"
"134","0"
"135","0"
"136","0"
"137","0"
"138","0"
"139","1"
"140","0"
"141","0"
"142","1"
"143","0"
"144","0"
"145","0"
"146","0"
"147","0"
"148","0"
"149","0"
"150","0"
"151","1"
"152","0"
"153","0"
"154","0"
"155","0"
"156","1"
"157","1"
"158","0"
"159","0"
"160","1"
"161","0"
"162","1"
"163","0"
"164","0"
"165","0"
"166","0"
"167","0"
"168","1"
"169","1"
"170","0"
"171","0"
"172","0"
"173","0"
"174","0"
"175","1"
"176","1"
"177","0"
"178","1"
"179","1"
"180","0"
"181","0"
"182","1"
"183","0"
"184","0"
"185","0"
"186","1"
"187","0"
"188","0"
"189","0"
"190","0"
"191","0"
"192","0"
"193","0"
"194","1"
"195","0"
"196","1"
"197","1"
"198","0"
"199","1"
"200","1"
"201","0"
"202","0"
"203","1"
"204","0"
"205","0"
"206","1"
"207","0"
"208","1"
"209","0"
"210","0"
"211","0"
"212","0"
"213","1"
"214","0"
"215","0"
"216","1"
"217","0"
"218","1"
"219","0"
"220","1"
"221","0"
"222","1"
"223","0"
"224","1"
"225","1"
"226","0"
"227","1"
"228","0"
"229","0"
"230","0"
"231","1"
"232","0"
"233","0"
"234","0"
"235","0"
"236","0"
"237","0"
"238","1"
"239","1"
"240","1"
"241","1"
"242","0"
"243","0"
"244","0"
"245","0"
"246","1"
"247","0"
"248","1"
"249","1"
"250","1"
"251","0"
"252","0"
"253","0"
"254","0"
"255","0"
"256","0"
"257","0"
"258","1"
"259","0"
"260","0"
"261","0"
"262","1"
"263","0"
"264","0"
"265","0"
"266","0"
"267","0"
"268","1"
"269","0"
"270","0"
"271","0"
"272","1"
"273","1"
"274","0"
"275","1"
"276","0"
"277","0"
"278","0"
"279","0"
"280","1"
"281","0"
"282","1"
"283","1"
"284","1"
"285","0"
"286","0"
"287","0"
"288","0"
"289","0"
"290","0"
"291","1"
"292","0"
"293","0"
"294","0"
"295","0"
"296","1"
"297","0"
"298","0"
"299","0"
"300","0"
"301","0"
"302","0"
"303","0"
"304","1"
"305","1"
"306","0"
"307","1"
"308","0"
"309","0"
"310","0"
"311","0"
"312","0"
"313","1"
"314","1"
"315","1"
"316","1"
"317","0"
"318","0"
"319","0"
"320","0"
"321","0"
"322","0"
"323","0"
"324","0"
"325","0"
"326","1"
"327","0"
"328","0"
"329","0"
"330","1"
"331","0"
"332","0"
"333","0"
"334","0"
"335","0"
"336","0"
"337","0"
"338","0"
"339","1"
"340","0"
"341","0"
"342","0"
"343","0"
"344","0"
"345","1"
"346","0"
"347","1"
"348","0"
"349","1"
"350","1"
"351","0"
"352","0"
"353","0"
"354","0"
"355","0"
"356","1"
"357","0"
"358","0"
"359","1"
"360","0"
"361","1"
"362","1"
"363","0"
"364","1"
"365","0"
"366","0"
"367","1"
"368","1"
"369","0"
"370","0"
"371","1"
"372","0"
"373","0"
"374","1"
"375","1"
"376","0"
"377","0"
"378","0"
"379","0"
"380","0"
"381","0"
"382","1"
"383","1"
"384","0"
"385","1"
"386","0"
"387","0"
"388","0"
"389","0"
"390","0"
"391","1"
"392","0"
"393","0"
"394","0"
"395","1"
"396","0"
"397","1"
"398","0"
"399","0"
"400","1"
"401","0"
"402","1"
"403","0"
"404","0"
"405","0"
"406","0"
"407","0"
"408","1"
"409","0"
"410","1"
"411","1"
"412","1"
"413","0"
"414","1"
"415","0"
"416","0"
"417","0"
